address,cumulative_points,last_supplied_usd,last_snapshot_ts
DoY3Aj3va8JS3GCaxdHgSr7C3ArUvJoTZ6Lbq7fZNhKZ,4440.256077992778,30046.870786,1789571943
Fz9CbCaksGpgmwxFPJFHH5SYRfmiyFmv6y29tAaN6roH,210.83168290138892,1426.681755,1789571943
EkaagjHdqUgpbyY5BPFbGawKkN3erWAGV6Uvh3oLL2MY,168.1988206461111,1138.188461,1789571943
22P7BMZx87yU4gq6WEfaFUaumLjdbGpDUy1UinW6tNXn,125.91978070388889,852.089455,1789571943
D2aiR2wt9YUpsX8fBTrBCVpFZFtt1XEeLsY8gW4H5q9Q,75.97808518611112,514.137849,1789571943
BVAu4QnXjgdvNv2eQv9dK9vTDrjgT8m6wKhMc6ELxdm8,14.583065145833334,98.682478,1789571943
GhnAhYbtDCcVCHD5AeBTC7atCkVdSdFoAoAroHqoui63,13.874274750000001,93.886148,1789571943
6qWP977HvKLis7hkZdSGgsn35yUGk5FS9SUnAgLJfojn,4.4459057125,30.085101,1789571943
4DRtrx3moyUocvLZUrfZHG9xG69MqiLrnhSzatrmDK3P,2.9617000486111116,20.041596,1789571943
3ytGZ98UbCwa4m5gDsP9ugdDrQHUQAbyxDMX75tkoKL7,0.15225076416666666,1.030269,1789571943
GvcqXpXpdjeM9VjC3YS8a4HZjCMwY7tuqmtBJ1QoWovM,0.02232671,0.151084,1789571943
4J2XWXvhBTgieuZ7GB2hE3ZTxPgUYvWXiW27Q5cToDBj,7.625333333333332e-05,0.000516,1789571943
