owner,supplied_usd
Fz9CbCaksGpgmwxFPJFHH5SYRfmiyFmv6y29tAaN6roH,1426.68026
EkaagjHdqUgpbyY5BPFbGawKkN3erWAGV6Uvh3oLL2MY,1138.187268
22P7BMZx87yU4gq6WEfaFUaumLjdbGpDUy1UinW6tNXn,852.088562
BVAu4QnXjgdvNv2eQv9dK9vTDrjgT8m6wKhMc6ELxdm8,98.682375
4DRtrx3moyUocvLZUrfZHG9xG69MqiLrnhSzatrmDK3P,20.041575
6qWP977HvKLis7hkZdSGgsn35yUGk5FS9SUnAgLJfojn,30.08507
DoY3Aj3va8JS3GCaxdHgSr7C3ArUvJoTZ6Lbq7fZNhKZ,30046.839307
GhnAhYbtDCcVCHD5AeBTC7atCkVdSdFoAoAroHqoui63,93.88605
GvcqXpXpdjeM9VjC3YS8a4HZjCMwY7tuqmtBJ1QoWovM,0.151083
3ytGZ98UbCwa4m5gDsP9ugdDrQHUQAbyxDMX75tkoKL7,1.030268
D2aiR2wt9YUpsX8fBTrBCVpFZFtt1XEeLsY8gW4H5q9Q,514.13731
4J2XWXvhBTgieuZ7GB2hE3ZTxPgUYvWXiW27Q5cToDBj,0.000516
